wavelength [micron], flux [Jy]
4.900000000000001243e+00,2.325870765209459901e+00
4.909804003195844757e+00,2.325036047335885758e+00
4.919627622407744205e+00,2.324144483605397493e+00
4.929470896883754172e+00,2.323258483185594248e+00
4.939333865950461977e+00,2.322573039385352534e+00
4.949216569013140443e+00,2.321818376814206442e+00
4.959119045555901550e+00,2.321749501415363515e+00
4.969041335141860749e+00,2.319729127865649332e+00
4.978983477413293279e+00,2.319047628752394896e+00
4.988945512091786050e+00,2.317995868437779716e+00
4.998927478978406391e+00,2.317224897013633544e+00
5.008929417953855712e+00,2.316281183758300166e+00
5.018951368978626704e+00,2.317322267193834495e+00
5.028993372093167658e+00,2.315243634516541693e+00
5.039055467418042333e+00,2.313723913521501974e+00
5.049137695154083616e+00,2.312911224129342358e+00
5.059240095582562269e+00,2.312059387712113612e+00
5.069362709065345918e+00,2.311180909319867194e+00
5.079505576045054482e+00,2.311462152055482999e+00
5.089668737045228042e+00,2.309957223373945823e+00
5.099852232670490260e+00,2.308841694465584737e+00
5.110056103606702038e+00,2.308313011546520688e+00
5.120280390621130273e+00,2.307086347024213779e+00
5.130525134562614831e+00,2.306285329878724699e+00
5.140790376361719538e+00,2.306049065748484672e+00
5.151076157030905378e+00,2.307080743511411125e+00
5.161382517664696579e+00,2.303814685463504208e+00
5.171709499439830715e+00,2.303234135619827594e+00
5.182057143615439898e+00,2.302118218057759957e+00
5.192425491533207094e+00,2.301274983937901197e+00
5.202814584617527771e+00,2.302816780525562379e+00
5.213224464375685763e+00,2.302331960454679471e+00
5.223655172398012247e+00,2.299144917454303716e+00
5.234106750358048288e+00,2.299069421585564488e+00
5.244579240012721577e+00,2.297989311081466646e+00
5.255072683202507200e+00,2.296895358404901000e+00
5.265587121851590169e+00,2.295936511644448341e+00
5.276122597968044836e+00,2.296465654976187487e+00
5.286679153643993878e+00,2.295300006291618455e+00
5.297256831055775272e+00,2.293990534650597546e+00
5.307855672464118157e+00,2.293067890018998245e+00
5.318475720214306257e+00,2.292495394122951780e+00
5.329117016736346635e+00,2.290938775425145124e+00
5.339779604545144664e+00,2.290696566032141224e+00
5.350463526240669232e+00,2.294384465155407948e+00
5.361168824508120601e+00,2.290070851304188082e+00
5.371895542118108935e+00,2.289149499425722656e+00
5.382643721926816838e+00,2.287776684439951413e+00
5.393413406876176097e+00,2.286347735283075000e+00
5.404204639994039105e+00,2.286294325577471476e+00
5.415017464394344060e+00,2.288112358478046726e+00
5.425851923277297928e+00,2.290716434461375517e+00
5.436708059929541648e+00,2.283682523323261826e+00
5.447585917724321547e+00,2.283632705501970506e+00
5.458485540121668755e+00,2.284541670152715032e+00
5.469406970668572399e+00,2.283434109976627546e+00
5.480350252999145688e+00,2.284712397460932909e+00
5.491315430834807998e+00,2.280120237967588004e+00
5.502302547984460723e+00,2.280958203707740495e+00
5.513311648344653371e+00,2.279480418417549004e+00
5.524342775899766522e+00,2.279493830337298910e+00
5.535395974722187695e+00,2.278185335008873214e+00
5.546471288972481872e+00,2.281225777826282108e+00
5.557568762899571801e+00,2.277699284969811000e+00
5.568688440840918297e+00,2.278384364700472009e+00
5.579830367222686327e+00,2.280111054929920833e+00
5.590994586559935087e+00,2.273812059009528763e+00
5.602181143456789414e+00,2.276526295873546157e+00
5.613390082606615650e+00,2.275885890982880966e+00
5.624621448792206380e+00,2.272611350669344610e+00
5.635875286885957181e+00,2.274769154440317465e+00
5.647151641850040704e+00,2.272713330462223791e+00
5.658450558736594083e+00,2.274979899774652647e+00
5.669772082687897452e+00,2.269447171155150045e+00
5.681116258936546259e+00,2.270416455257829202e+00
5.692483132805643109e+00,2.269856014061327976e+00
5.703872749708974510e+00,2.269429661549994481e+00
5.715285155151185847e+00,2.275107842199031616e+00
5.726720394727974117e+00,2.270345239604935728e+00
5.738178514126264673e+00,2.268283855573031360e+00
5.749659559124390640e+00,2.268299392764438593e+00
5.761163575592282982e+00,2.269363425007961954e+00
5.772690609491649028e+00,2.267191817791252006e+00
5.784240706876153659e+00,2.266044401153859855e+00
5.795813913891612046e+00,2.261508449006845556e+00
5.807410276776166391e+00,2.261792260634070129e+00
5.819029841860470675e+00,2.268198439570979108e+00
5.830672655567881613e+00,2.265882930617765467e+00
5.842338764414639840e+00,2.260822580498641265e+00
5.854028215010052882e+00,2.260058813995885707e+00
5.865741054056689663e+00,2.262971041591820498e+00
5.877477328350561692e+00,2.269878629313708540e+00
5.889237084781306031e+00,2.259361860096454677e+00
5.901020370332383358e+00,2.261607780521125655e+00
5.912827232081258266e+00,2.256209300355367819e+00
5.924657717199584894e+00,2.256979893277311078e+00
5.936511872953404101e+00,2.263894958600249918e+00
5.948389746703322878e+00,2.258206789552225313e+00
5.960291385904711525e+00,2.251688328557304608e+00
5.972216838107891057e+00,2.258263768254997750e+00
5.984166150958316166e+00,2.258624202569075923e+00
5.996139372196776840e+00,2.254665441404405168e+00
6.008136549659583103e+00,2.252207165019356694e+00
6.020157731278752422e+00,2.250337723056393457e+00
6.032202965082209545e+00,2.249444987643111737e+00
6.044272299193975684e+00,2.259315357942400126e+00
6.056365781834353257e+00,2.252323238647011117e+00
6.068483461320129280e+00,2.254077988360488227e+00
6.080625386064765436e+00,2.248800124703158598e+00
6.092791604578583708e+00,2.246801628663515071e+00
6.104982165468971544e+00,2.248792603682610469e+00
6.117197117440571041e+00,2.252285707507834189e+00
6.129436509295467239e+00,2.243229615503103958e+00
6.141700389933397730e+00,2.245932561236763991e+00
6.153988808351934736e+00,2.246776339307228199e+00
6.166301813646683172e+00,2.244726606619731779e+00
6.178639455011485815e+00,2.243617666746342554e+00
6.191001781738609822e+00,2.242983267006456227e+00
6.203388843218944793e+00,2.240494012943682112e+00
6.215800688942206165e+00,2.242688298297490501e+00
6.228237368497130610e+00,2.239789821026256789e+00
6.240698931571665220e+00,2.241472755052045240e+00
6.253185427953181552e+00,2.237877704355442532e+00
6.265696907528663928e+00,2.239772736465021286e+00
6.278233420284909272e+00,2.237676178826681461e+00
6.290795016308731391e+00,2.237354382775645689e+00
6.303381745787159041e+00,2.235857964454543101e+00
6.315993659007633099e+00,2.235926534536630594e+00
6.328630806358213512e+00,2.234809804513800735e+00
6.341293238327776471e+00,2.240630124343710783e+00
6.353981005506215141e+00,2.234007920555666882e+00
6.366694158584646601e+00,2.239358730080476700e+00
6.379432748355613469e+00,2.234805565735698885e+00
6.392196825713276631e+00,2.235710376477229033e+00
6.404986441653634621e+00,2.240048895270845719e+00
6.417801647274719912e+00,2.248293971956476067e+00
6.430642493776796975e+00,2.236756698570259161e+00
6.443509032462575448e+00,2.232144132801376468e+00
6.456401314737417074e+00,2.235526988748539168e+00
6.469319392109526667e+00,2.239481979192003092e+00
6.482263316190175040e+00,2.242454170601184238e+00
6.495233138693897068e+00,2.243787826840873745e+00
6.508228911438694197e+00,2.231322267249211677e+00
