# ============================================================================
# Opacities computed by OpTool        <a^n>=  1.9942E+0  1.9950E+0  1.9958E+0
# Parameters:
#  amin    =      1.9 micron
#  amax    =      2.1 micron
#  apow    =         3.5
#  na      =         20
#  density =         3.71
# ============================================================================
#  lambda[micron]   Qabs
# ============================================================================
2.000000000000000111e-01 1.005287570000000130e+00
2.008540000000000048e-01 1.005317250000000051e+00
2.017115999999999909e-01 1.005346188000000085e+00
2.025727999999999973e-01 1.005373642000000123e+00
2.034378000000000020e-01 1.005399612000000165e+00
2.043063999999999991e-01 1.005424097999999988e+00
2.051787999999999945e-01 1.005447100000000038e+00
2.060549000000000130e-01 1.005469359999999979e+00
2.069346999999999992e-01 1.005489394000000036e+00
2.078183000000000114e-01 1.005508685999999985e+00
2.087055999999999911e-01 1.005525752000000050e+00
2.095966999999999969e-01 1.005542076000000229e+00
2.104917000000000038e-01 1.005556173999999858e+00
2.113904000000000061e-01 1.005569530000000045e+00
2.122930000000000095e-01 1.005580660000000126e+00
2.131994999999999862e-01 1.005590305999999989e+00
2.141097999999999890e-01 1.005597725999999970e+00
2.150239999999999929e-01 1.005604404000000063e+00
2.159420999999999979e-01 1.005608856000000051e+00
2.168642000000000070e-01 1.005611824000000043e+00
2.177900999999999865e-01 1.005612565999999930e+00
2.187201000000000006e-01 1.005611824000000043e+00
2.196539999999999881e-01 1.005609598000000160e+00
2.205918000000000045e-01 1.005633342000000097e+00
2.215337000000000001e-01 1.005673409999999990e+00
2.224795999999999996e-01 1.005714220000000214e+00
2.234296000000000060e-01 1.005755771999999881e+00
2.243835999999999886e-01 1.005798065999999880e+00
2.253417000000000059e-01 1.005841101999999987e+00
2.263037999999999994e-01 1.005884880000000203e+00
2.272701000000000027e-01 1.005929400000000085e+00
2.282405000000000128e-01 1.005974662000000075e+00
2.292150000000000021e-01 1.006020666000000174e+00
2.301938000000000040e-01 1.006066670000000052e+00
2.311766000000000099e-01 1.006114158000000147e+00
2.321637000000000006e-01 1.006161646000000021e+00
2.331550000000000011e-01 1.006210618000000112e+00
2.341505000000000114e-01 1.006259589999999982e+00
2.351503000000000065e-01 1.006310046000000069e+00
2.361543999999999865e-01 1.006360501999999935e+00
2.371627000000000041e-01 1.006412442000000240e+00
2.381754000000000093e-01 1.006464382000000102e+00
2.391922999999999966e-01 1.006517805999999959e+00
2.402135999999999993e-01 1.006591264000000097e+00
2.412392999999999899e-01 1.006740406000000032e+00
2.422692999999999930e-01 1.006890290000000077e+00
2.433037999999999867e-01 1.007040173999999899e+00
2.443425999999999931e-01 1.007190800000000053e+00
2.453858999999999901e-01 1.007341426000000206e+00
2.464337000000000055e-01 1.007492794000000025e+00
2.474859000000000087e-01 1.007644903999999952e+00
2.485426000000000024e-01 1.007797014000000102e+00
2.496038999999999897e-01 1.007949124000000030e+00
2.506695999999999924e-01 1.008101976000000066e+00
2.517400000000000193e-01 1.008255569999999990e+00
2.528148000000000062e-01 1.008409163999999913e+00
2.538943000000000172e-01 1.008563499999999946e+00
2.549783999999999939e-01 1.008717836000000201e+00
2.560670999999999919e-01 1.008872913999999898e+00
2.571605000000000141e-01 1.009028733999999927e+00
2.582585000000000020e-01 1.009184553999999956e+00
2.593612000000000140e-01 1.009341116000000094e+00
2.604685999999999946e-01 1.009523648000000051e+00
2.615808000000000022e-01 1.009740312000000140e+00
2.626976999999999784e-01 1.009956976000000006e+00
2.638193999999999817e-01 1.010173640000000095e+00
2.649458000000000091e-01 1.010391046000000070e+00
2.660771000000000108e-01 1.010608452000000046e+00
2.672131999999999841e-01 1.010826599999999909e+00
2.683540999999999843e-01 1.011044006000000106e+00
2.695000000000000173e-01 1.011262153999999969e+00
2.706507000000000218e-01 1.011480302000000053e+00
2.718063000000000007e-01 1.011698449999999916e+00
2.729669000000000123e-01 1.011917340000000110e+00
2.741323999999999983e-01 1.012136230000000081e+00
2.753029000000000170e-01 1.012355120000000053e+00
2.764784000000000130e-01 1.012574751999999911e+00
2.776588999999999863e-01 1.012793642000000105e+00
2.788443999999999923e-01 1.013013274000000186e+00
2.800350999999999813e-01 1.013234390000000040e+00
2.812308000000000030e-01 1.013481475999999937e+00
2.824316000000000049e-01 1.013728562000000055e+00
2.836374999999999869e-01 1.013974906000000065e+00
2.848486000000000073e-01 1.014221991999999961e+00
2.860648000000000080e-01 1.014468336000000193e+00
2.872862999999999944e-01 1.014714679999999980e+00
2.885129000000000166e-01 1.014961024000000211e+00
2.897448000000000246e-01 1.015207367999999999e+00
2.909820000000000184e-01 1.015452970000000121e+00
2.922243999999999953e-01 1.015698572000000022e+00
2.934722000000000164e-01 1.015943432000000035e+00
2.947252000000000205e-01 1.016189034000000158e+00
2.959837000000000162e-01 1.016433893999999949e+00
2.972474999999999978e-01 1.016678753999999962e+00
2.985166000000000208e-01 1.016923614000000198e+00
2.997912999999999828e-01 1.017167732000000102e+00
3.010712999999999862e-01 1.017444498000000142e+00
3.023567999999999811e-01 1.017727199999999943e+00
3.036478000000000232e-01 1.018009160000000080e+00
3.049444000000000043e-01 1.018290377999999885e+00
3.062463999999999742e-01 1.018570854000000026e+00
3.075539999999999941e-01 1.018850588000000057e+00
3.088672000000000084e-01 1.019129579999999979e+00
3.101860000000000173e-01 1.019407088000000128e+00
3.115105000000000235e-01 1.019683854000000167e+00
3.128406000000000242e-01 1.019959878000000097e+00
3.141763000000000194e-01 1.020235160000000141e+00
3.155178000000000149e-01 1.020510442000000184e+00
3.168650000000000078e-01 1.020784240000000009e+00
3.182180000000000009e-01 1.021057295999999948e+00
3.195766999999999913e-01 1.021329609999999999e+00
3.209411999999999821e-01 1.021636055999999959e+00
3.223115999999999759e-01 1.021957342000000102e+00
3.236878000000000255e-01 1.022277885999999913e+00
3.250699000000000227e-01 1.022596945999999951e+00
3.264579000000000231e-01 1.022914521999999993e+00
3.278518000000000265e-01 1.023230614000000038e+00
3.292516999999999805e-01 1.023543738000000092e+00
3.306574999999999931e-01 1.023856120000000036e+00
3.320694000000000146e-01 1.024167017999999985e+00
3.334871999999999836e-01 1.024476431999999937e+00
3.349112000000000200e-01 1.024784362000000115e+00
3.363412000000000068e-01 1.025091550000000185e+00
3.377773000000000025e-01 1.025397254000000036e+00
3.392195000000000071e-01 1.025702216000000000e+00
3.406679000000000235e-01 1.026036115999999998e+00
3.421224999999999961e-01 1.026402663999999909e+00
3.435832999999999804e-01 1.026767728000000046e+00
3.450503999999999794e-01 1.027131307999999965e+00
3.465236999999999901e-01 1.027493404000000110e+00
3.480033000000000154e-01 1.027854016000000037e+00
3.494891999999999999e-01 1.028211659999999972e+00
3.509813999999999989e-01 1.028567078000000024e+00
3.524801000000000184e-01 1.028919528000000083e+00
3.539850999999999970e-01 1.029269009999999929e+00
3.554964999999999931e-01 1.029616266000000113e+00
3.570144000000000095e-01 1.029963522000000076e+00
3.585387999999999908e-01 1.030308552000000155e+00
3.600696999999999925e-01 1.030652098000000016e+00
3.616072000000000175e-01 1.031037195999999989e+00
3.631512000000000073e-01 1.031418584000000083e+00
3.647017000000000175e-01 1.031797746000000071e+00
3.662588999999999984e-01 1.032174681999999954e+00
3.678228000000000053e-01 1.032547166000000072e+00
3.693932999999999800e-01 1.032914456000000092e+00
3.709705999999999837e-01 1.033276552000000015e+00
3.725546000000000135e-01 1.033633454000000063e+00
3.741453000000000140e-01 1.033986646000000009e+00
3.757427999999999879e-01 1.034336128000000077e+00
3.773471999999999937e-01 1.034678932000000051e+00
3.789583999999999731e-01 1.035015800000000041e+00
3.805764999999999842e-01 1.035362314000000117e+00
3.822015000000000273e-01 1.035732572000000129e+00
3.838333999999999913e-01 1.036096152000000048e+00
3.854722999999999900e-01 1.036451570000000100e+00
3.871182000000000234e-01 1.036798083999999953e+00
3.887710999999999806e-01 1.037135694000000052e+00
3.904310999999999754e-01 1.037464400000000175e+00
3.920982000000000078e-01 1.037783460000000213e+00
3.937724000000000224e-01 1.038092132000000056e+00
3.954537000000000191e-01 1.038388931999999931e+00
3.971422000000000008e-01 1.038673860000000060e+00
3.988379000000000230e-01 1.038946916000000220e+00
4.005408999999999775e-01 1.039219230000000049e+00
4.022510999999999726e-01 1.039496738000000198e+00
4.039687000000000139e-01 1.039758664000000055e+00
4.056934999999999847e-01 1.040004266000000177e+00
4.074258000000000046e-01 1.040232802000000012e+00
4.091654000000000124e-01 1.040448723999999991e+00
4.109125000000000139e-01 1.040652032000000116e+00
4.126670000000000060e-01 1.040841984000000053e+00
4.144289999999999918e-01 1.041012644000000043e+00
4.161985000000000268e-01 1.041160301999999982e+00
4.179756000000000027e-01 1.041287184000000199e+00
4.197602999999999751e-01 1.041395516000000132e+00
4.215525999999999995e-01 1.041514978000000147e+00
4.233526000000000233e-01 1.041625535999999963e+00
4.251601999999999881e-01 1.041716802000000053e+00
4.269756000000000107e-01 1.041783582000000097e+00
4.287986999999999771e-01 1.041823649999999990e+00
4.306296000000000013e-01 1.041838490000000172e+00
4.324683000000000277e-01 1.041832553999999966e+00
4.343148000000000009e-01 1.041811778000000022e+00
4.361692999999999820e-01 1.041776904000000004e+00
4.380316000000000209e-01 1.041721254000000041e+00
4.399019000000000124e-01 1.041640375999999923e+00
4.417802000000000118e-01 1.041528333999999889e+00
4.436666000000000221e-01 1.041385870000000047e+00
4.455608999999999820e-01 1.041216694000000054e+00
4.474634000000000111e-01 1.041026742000000116e+00
4.493739999999999957e-01 1.040818982000000004e+00
4.512926999999999911e-01 1.040617899999999985e+00
4.532197000000000031e-01 1.040407172000000102e+00
4.551548000000000260e-01 1.040169732000000069e+00
4.570983000000000129e-01 1.039899644000000123e+00
4.590500000000000136e-01 1.039598392000000038e+00
4.610100999999999782e-01 1.039273396000000016e+00
4.629785000000000150e-01 1.038927624000000050e+00
4.649553000000000158e-01 1.038558850000000033e+00
4.669405999999999834e-01 1.038164848000000084e+00
4.689343000000000261e-01 1.037744876000000094e+00
4.709365999999999830e-01 1.037297450000000065e+00
4.729474000000000178e-01 1.036824796000000104e+00
4.749668000000000223e-01 1.036330624000000089e+00
4.769947999999999966e-01 1.035813450000000024e+00
4.790314999999999990e-01 1.035265112000000043e+00
4.810768999999999740e-01 1.034675222000000172e+00
4.831309999999999771e-01 1.034042295999999972e+00
4.851939000000000113e-01 1.033374496000000198e+00
4.872656000000000209e-01 1.032684436000000039e+00
4.893461000000000061e-01 1.031983246000000021e+00
4.914355000000000251e-01 1.031273894000000135e+00
4.935339000000000254e-01 1.030544507999999970e+00
4.956412000000000040e-01 1.029774312000000025e+00
4.977575000000000194e-01 1.028947724000000008e+00
4.998828000000000160e-01 1.028063259999999923e+00
5.020172000000000523e-01 1.027244092000000109e+00
5.041607000000000172e-01 1.026408600000000115e+00
5.063134000000000245e-01 1.025567914000000025e+00
5.084752999999999634e-01 1.024726486000000047e+00
5.106463999999999448e-01 1.023873927999999989e+00
5.128266999999999687e-01 1.022993174000000005e+00
5.150164000000000408e-01 1.022069384000000136e+00
5.172153999999999918e-01 1.021093653999999962e+00
5.194237999999999911e-01 1.020068952000000140e+00
5.216416999999999859e-01 1.019002697999999985e+00
5.238690000000000291e-01 1.017908990000000014e+00
5.261057999999999568e-01 1.016799699999999973e+00
5.283522000000000496e-01 1.015681506000000178e+00
5.306081999999999743e-01 1.014551439999999971e+00
5.328737999999999531e-01 1.013402823999999924e+00
5.351489999999999858e-01 1.012223043999999961e+00
5.374339999999999673e-01 1.010998002000000007e+00
5.397288000000000086e-01 1.009722503999999965e+00
5.420333000000000512e-01 1.008396550000000058e+00
5.443476999999999899e-01 1.007027560000000044e+00
5.466720000000000468e-01 1.005627405999999890e+00
5.490061999999999998e-01 1.004210928000000003e+00
5.513502999999999599e-01 1.002890910000000080e+00
5.537045000000000439e-01 1.001645834000000068e+00
5.560686999999999713e-01 1.000388886000000088e+00
5.584430000000000227e-01 9.990970639999999792e-01
5.608275000000000343e-01 9.977555280000000026e-01
5.632220999999999478e-01 9.963590839999999504e-01
5.656269000000000435e-01 9.949158940000000229e-01
5.680420999999999943e-01 9.934407979999999583e-01
5.704675000000000162e-01 9.919523460000000403e-01
5.729033000000000042e-01 9.904661200000000054e-01
5.753494999999999582e-01 9.889821199999999646e-01
5.778060999999999892e-01 9.874899579999999455e-01
5.802732000000000445e-01 9.859703419999999996e-01
5.827508999999999606e-01 9.844084319999999444e-01
5.852391000000000121e-01 9.827930980000000316e-01
5.877379999999999827e-01 9.811243400000000392e-01
5.902475000000000360e-01 9.794147719999999335e-01
5.927677999999999559e-01 9.776814600000001132e-01
5.952988000000000168e-01 9.759370180000001005e-01
5.978406000000000553e-01 9.741888660000000977e-01
6.003933000000000186e-01 9.724718780000000118e-01
6.029569000000000178e-01 9.709648760000000323e-01
6.055314000000000529e-01 9.694348720000001141e-01
6.081168999999999603e-01 9.678692519999999577e-01
6.107133999999999618e-01 9.662613380000000252e-01
6.133210999999999524e-01 9.646118720000000923e-01
6.159398000000000373e-01 9.629312420000000206e-01
6.185697999999999475e-01 9.612305780000001132e-01
6.212109999999999577e-01 9.595195260000000115e-01
6.238633999999999569e-01 9.577980860000001595e-01
6.265271999999999508e-01 9.560640320000001191e-01
6.292024000000000505e-01 9.543129120000000132e-01
6.318888999999999756e-01 9.525395320000000776e-01
6.345870000000000122e-01 9.507386979999999932e-01
6.372965999999999909e-01 9.489066999999999918e-01
6.400177000000000227e-01 9.470457640000000676e-01
6.427505000000000024e-01 9.451581160000001036e-01
6.454948999999999826e-01 9.432496920000000840e-01
6.482510000000000217e-01 9.413249440000001078e-01
6.510188999999999560e-01 9.395382079999999858e-01
6.537986999999999549e-01 9.380052359999999645e-01
6.565902999999999601e-01 9.364641019999999649e-01
6.593938000000000299e-01 9.349118380000001061e-01
6.622093000000000007e-01 9.333447340000000647e-01
6.650367999999999835e-01 9.317590800000000728e-01
6.678764000000000367e-01 9.301519080000001383e-01
6.707281000000000493e-01 9.285261860000000311e-01
6.735919999999999686e-01 9.268893339999999537e-01
6.764681000000000166e-01 9.252472880000000011e-01
6.793565000000000298e-01 9.236059840000000465e-01
6.822572000000000081e-01 9.219646799999999809e-01
6.851703000000000099e-01 9.203196660000001472e-01
6.880958999999999826e-01 9.186664900000001133e-01
6.910338999999999787e-01 9.170021840000001090e-01
6.939845000000000041e-01 9.153237800000000313e-01
6.969476999999999478e-01 9.136290520000001081e-01
6.999235000000000317e-01 9.119194840000000024e-01
7.029121000000000397e-01 9.106706980000000007e-01
7.059134000000000242e-01 9.094345260000000764e-01
7.089275000000000437e-01 9.082057740000001322e-01
7.119545000000000456e-01 9.069851840000001664e-01
7.149944000000000299e-01 9.057727560000000677e-01
7.180473000000000550e-01 9.045632960000000722e-01
7.211132000000000097e-01 9.033560620000000707e-01
7.241923000000000110e-01 9.021480860000000712e-01
7.272844000000000531e-01 9.009349160000000856e-01
7.303897999999999779e-01 8.997143260000001197e-01
7.335083999999999493e-01 8.984863159999999516e-01
7.366403999999999730e-01 8.972545960000001264e-01
7.397856999999999905e-01 8.960236179999999662e-01
7.429443999999999493e-01 8.947993180000001212e-01
7.461166999999999661e-01 8.935787280000001553e-01
7.493024999999999824e-01 8.923588800000000765e-01
7.525017999999999985e-01 8.915545520000001112e-01
7.557148999999999672e-01 8.908637500000000653e-01
7.589417000000000524e-01 8.901766580000001206e-01
7.621822000000000319e-01 8.895021800000000312e-01
7.654366000000000225e-01 8.888418000000001262e-01
7.687047999999999659e-01 8.881895819999999775e-01
7.719871000000000372e-01 8.875358800000001658e-01
7.752833000000000085e-01 8.868777260000000329e-01
7.785935999999999968e-01 8.862188300000000130e-01
7.819180999999999493e-01 8.855658699999999772e-01
7.852567000000000297e-01 8.849181040000001497e-01
7.886096000000000217e-01 8.842681120000001060e-01
7.919768999999999837e-01 8.836077320000000901e-01
7.953584999999999683e-01 8.829332540000000007e-01
7.987545000000000339e-01 8.822483879999999390e-01
8.021650000000000169e-01 8.820539840000000131e-01
8.055900999999999756e-01 8.821519280000000851e-01
8.090298000000000211e-01 8.822624860000000124e-01
8.124843000000000481e-01 8.823826900000000251e-01
8.159534000000000509e-01 8.825051199999999207e-01
8.194373999999999825e-01 8.826253240000000444e-01
8.229362000000000066e-01 8.827395919999999618e-01
8.264500000000000179e-01 8.828486660000001152e-01
8.299788000000000165e-01 8.829555140000001634e-01
